gps_seconds[s]	panorama_file_name	latitude[deg]	longitude[deg]	altitude_ellipsoidal[m]	roll[deg]	pitch[deg]	heading[deg]
1142601170.92549	pano_0000_000213	52.3522593810236	4.94746558382587	38.8430150533095	0.257872915298186	1.36073506652038	10.5905040875839
1142601172.61046	pano_0000_000214	52.3522234851441	4.94742011248667	38.7571384683251	-1.20047779053604	0.724859336268916	45.0519115114804
1142601174.04061	pano_0000_000215	52.3521909695161	4.94736367285989	38.7036134963855	-2.08625346584888	0.21053047120736	46.2684248693752
1142601175.49544	pano_0000_000216	52.3521571280747	4.94730730934908	38.682886429131	-1.07280020544431	0.222617919389475	46.2726906468457
1142601177.28701	pano_0000_000217	52.352123321344	4.9472489063261	38.6381057342514	-1.4186716712374	0.592021334088763	47.227208851821
1142601179.31037	pano_0000_000218	52.352090184334	4.94718836557583	38.569918975234	-2.05030337597325	0.0498786547116664	48.5149507574865
1142601180.93541	pano_0000_000219	52.352056818137	4.94713090732547	38.5524751190096	-1.84447946703833	-0.0463109773546824	45.7578531422973
1142601182.51034	pano_0000_000220	52.3520216212117	4.94707740651439	38.5299717681482	-1.71484596926715	0.875260799072093	42.4401827909808
1142601184.25543	pano_0000_000221	52.3519859040132	4.94702464361691	38.5417797062546	0.501191739534805	-0.0804645526618396	45.8048001401631
1142601186.17533	pano_0000_000222	52.3519705070051	4.94695344181079	38.559065669775	1.96036489199742	0.120935937364252	88.6765868012994
1142601187.76531	pano_0000_000223	52.3519917181653	4.94689017389516	38.5267532328144	2.19826697652608	0.859823129077368	127.609062807818
1142601189.1753	pano_0000_000224	52.3520227961304	4.94683774809784	38.4691484645009	2.13936401401033	0.566434556277296	136.169346605251
1142601190.73527	pano_0000_000225	52.3520556331228	4.94678750793763	38.4707538168877	1.52495252447345	0.673386896009221	137.320539895626
1142601192.67023	pano_0000_000226	52.3520887841684	4.94673749380414	38.520528244786	1.85408753331459	-0.218270603888716	138.591188092321
1142601194.46527	pano_0000_000227	52.3521218524212	4.94668797450813	38.5130188120529	2.09834028814543	0.850554615356927	136.790446505868
1142601195.89521	pano_0000_000228	52.352153719215	4.94663668129638	38.3853801805526	2.25024906419414	-0.326487059806045	136.392361411782
1142601197.18019	pano_0000_000229	52.3521859550676	4.94658629717951	38.4010880757123	2.17107198800814	0.283105624094668	136.866604575422
1142601198.54013	pano_0000_000230	52.3522184441655	4.94653571762305	38.3607582030818	1.6094824937643	0.655745630094535	136.627708449618
1142601200.04519	pano_0000_000231	52.3522506758409	4.94648479059335	38.4400724638253	1.14739550682461	0.131247091431295	136.146724771677
1142601201.64009	pano_0000_000232	52.3522828781741	4.94643378066894	38.4421611605212	1.82182015235754	0.542139123874093	136.827622654781
1142601203.11008	pano_0000_000233	52.3523150786396	4.94638309217653	38.3234775587916	1.95779467667031	1.00025695462614	136.945557079346
1142601204.42008	pano_0000_000234	52.3523474369643	4.94633262353275	38.3109416831285	1.79499725669379	0.25376635271403	136.727774102664
